tau_ell,seed,flat_twin,n_realized,rho_hat,pool_size,rejections,complete,y,median_relerr,mean_m,sd_m,stage,code_version
1.5,21206800.0,True,1814.0,8.892156862745098,17618.0,3.0,True,-0.67207578451227,0.2127767717505194,78.5,13.095800853708795,A13-twin,33e371f
1.5,21207000.0,True,1769.0,8.67156862745098,17860.0,17.0,True,-0.7331319363046428,0.18487069065432274,74.66666666666667,12.832251036613439,A13-twin,33e371f
1.5,21207200.0,True,1700.0,8.333333333333334,15787.0,27.0,True,-0.6091410640197036,0.24595685772232165,76.16666666666667,13.075422236649441,A13-twin,33e371f
1.5,21207400.0,True,1702.0,8.343137254901961,15078.0,8.0,True,-0.6830272827211677,0.20747831738488548,74.83333333333333,14.66174159732283,A13-twin,33e371f
1.5,21207600.0,True,1743.0,8.544117647058824,15923.0,14.0,True,-1.0642819009826634,0.08624185692892639,80.5,16.44080290010193,A13-twin,33e371f
1.5,21207800.0,True,1736.0,8.509803921568627,16797.0,8.0,True,-0.7804570216241237,0.16578413909825745,72.0,6.511528238439882,A13-twin,33e371f
1.5,21208000.0,True,1770.0,8.676470588235293,17799.0,17.0,True,-0.7756784015713668,0.1676183643545374,71.33333333333333,10.856641592438553,A13-twin,33e371f
1.5,21208200.0,True,1792.0,8.784313725490197,16664.0,5.0,True,-0.6137545428055384,0.24335790454551162,70.66666666666667,15.370968306084904,A13-twin,33e371f
1.5,21208400.0,True,1719.0,8.426470588235293,15579.0,2.0,True,-0.638346687595003,0.22996053608536965,74.0,15.974980438172686,A13-twin,33e371f
1.5,21208600.0,True,1713.0,8.397058823529411,16011.0,3.0,True,-0.6110402182874735,0.24488364543237612,66.83333333333333,10.925505327748766,A13-twin,33e371f
1.5,21208800.0,True,1772.0,8.686274509803921,18759.0,7.0,True,-0.693892843831371,0.2023518392320386,70.33333333333333,16.219330031375115,A13-twin,33e371f
1.5,21209000.0,True,1743.0,8.544117647058824,16404.0,15.0,True,-0.7067474496445609,0.19645023395530115,76.33333333333333,17.084105673598096,A13-twin,33e371f
1.5,21209200.0,True,1749.0,8.573529411764707,16534.0,6.0,True,-0.7220137226926837,0.1896645990674733,71.66666666666667,5.785038173311103,A13-twin,33e371f
1.5,21209400.0,True,1743.0,8.544117647058824,15060.0,32.0,True,-0.7835961659979473,0.1645901473364253,73.0,16.39512122553536,A13-twin,33e371f
