N,tick_count,repetition,source_protocol,target_protocol,source_beta,target_beta,expected_relative_beta,fitted_beta,fitted_beta_error,fitted_translation_t,fitted_translation_x,transition_rmse,accessible_overlap_count,accessible_overlap_fraction,invariant_pair_count,invariant_interval_rmse,invariant_interval_mae,invariant_interval_bias
600.0,64.0,4.0,A_lab,C_moving_neg,0.0,-0.25,-0.25,-0.2489,0.0010999999999999899,0.03029303686478912,-0.031996178414229824,0.015147977981559336,210.0,0.35,500.0,0.02142206574977751,0.01400943097699431,0.002420013993076615
600.0,64.0,4.0,B_moving_pos,C_moving_neg,0.3,-0.25,-0.5116279069767442,-0.5139499999999999,-0.0023220930232557002,0.06612865100155703,-0.0745402500369247,0.013035830833894679,114.0,0.19,500.0,0.013443417966592356,0.009327168134339349,0.0017907138036180707
600.0,128.0,4.0,A_lab,B_moving_pos,0.0,0.3,0.3,0.30210000000000004,0.0021000000000000463,-0.06854313874357575,0.06882176616997755,0.007472395347176733,188.0,0.31333333333333335,500.0,0.012521947935088462,0.007322508721649959,0.002630191654376958
600.0,128.0,4.0,A_lab,C_moving_neg,0.0,-0.25,-0.25,-0.2507999999999999,-0.0007999999999999119,0.030319869053301633,-0.03139684891660558,0.00699544862929462,210.0,0.35,500.0,0.010288239897586541,0.0064577172693340255,-0.0006579256312016624
600.0,128.0,4.0,B_moving_pos,C_moving_neg,0.3,-0.25,-0.5116279069767442,-0.5129999999999999,-0.0013720930232556938,0.06902576126485202,-0.06936578706577595,0.0063287577205509305,114.0,0.19,500.0,0.0061435987144449885,0.00437683184381504,-2.688241961142368e-07
1200.0,32.0,0.0,A_lab,B_moving_pos,0.0,0.3,0.3,0.29355,-0.006450000000000011,-0.06930013059067872,0.07173065540846889,0.03447929127859952,342.0,0.285,500.0,0.062481976991340775,0.037716438990962636,0.006615857445323417
1200.0,32.0,0.0,A_lab,C_moving_neg,0.0,-0.25,-0.25,-0.24509999999999998,0.0049000000000000155,0.031425385623262296,-0.03289741922710869,0.03429062326289965,399.0,0.3325,500.0,0.06519792209220372,0.03940863794198479,0.007985407419976703
1200.0,32.0,0.0,B_moving_pos,C_moving_neg,0.3,-0.25,-0.5116279069767442,-0.5110999999999999,0.000527906976744319,0.06764876999899828,-0.07454916476353202,0.029463213737649863,221.0,0.18416666666666667,500.0,0.03373383917704372,0.022181762200512652,-0.005394904888381996
1200.0,64.0,0.0,A_lab,B_moving_pos,0.0,0.3,0.3,0.2983,-0.0016999999999999793,-0.06826671260255349,0.0705133947651882,0.01674806941722405,342.0,0.285,500.0,0.02630708120876449,0.01603536924227334,0.0033399583987410823
1200.0,64.0,0.0,A_lab,C_moving_neg,0.0,-0.25,-0.25,-0.2498499999999999,0.0001500000000000945,0.03083659847033363,-0.03302737698300129,0.014437518373998095,399.0,0.3325,500.0,0.0236951193376633,0.015478376328443058,0.005544047355565637
1200.0,64.0,0.0,B_moving_pos,C_moving_neg,0.3,-0.25,-0.5116279069767442,-0.5186999999999999,-0.007072093023255732,0.06623327267478561,-0.07464729520261082,0.012739125409969503,221.0,0.18416666666666667,500.0,0.014778578745343128,0.01006760889270366,-0.002184140053048259
1200.0,128.0,0.0,A_lab,B_moving_pos,0.0,0.3,0.3,0.3002,0.00020000000000003348,-0.06809417239876749,0.0689225157204153,0.00826889819223767,342.0,0.285,500.0,0.013701144875916059,0.008378822175380333,-0.0008310552799933288
1200.0,128.0,0.0,A_lab,C_moving_neg,0.0,-0.25,-0.25,-0.2498499999999999,0.0001500000000000945,0.031110105501112904,-0.03074289111442349,0.0077502504493612775,399.0,0.3325,500.0,0.014182022605598022,0.008508155139677707,0.002819647903878967
1200.0,128.0,0.0,B_moving_pos,C_moving_neg,0.3,-0.25,-0.5116279069767442,-0.5129999999999999,-0.0013720930232556938,0.06850767759935694,-0.07132678245481594,0.005935396831871811,221.0,0.18416666666666667,500.0,0.0060039087905372455,0.004342464842769814,-0.0004699432899292616
1200.0,32.0,1.0,A_lab,B_moving_pos,0.0,0.3,0.3,0.29925,-0.0007499999999999729,-0.06998265947981354,0.07448739462775221,0.03200156300432667,360.0,0.3,500.0,0.06036172492228459,0.03651637646158149,0.009148245641692416
1200.0,32.0,1.0,A_lab,C_moving_neg,0.0,-0.25,-0.25,-0.2517499999999999,-0.0017499999999999183,0.030056500601438534,-0.0337831525181573,0.029969864757807666,411.0,0.3425,500.0,0.05627814739583005,0.0337149534054734,0.005912093819848594
