target_index,t,x,inertial_accessible,rindler_accessible,rindler_wedge_accessible,rindler_finite_coverage_accessible
289.0,-0.2085665520450264,-0.09394720918036671,1.0,0.0,0.0,0.0
290.0,-0.3735486198646081,0.268543710779773,1.0,0.0,0.0,0.0
291.0,-1.0745097093810179,-0.2257893932726773,1.0,0.0,0.0,0.0
292.0,0.6030653390535932,0.1315970283923134,1.0,0.0,0.0,0.0
293.0,-0.9174064173915668,1.0745994275839028,1.0,0.0,1.0,0.0
294.0,0.27273656760692777,0.704958340213685,1.0,1.0,1.0,1.0
295.0,0.5138351915156334,0.14503505088446556,1.0,0.0,0.0,0.0
296.0,-1.320046194122349,-0.30391542334623517,1.0,0.0,0.0,0.0
297.0,-1.512391114658775,0.4708078295959281,1.0,0.0,0.0,0.0
298.0,0.13692409441496256,-1.1025894672261338,1.0,0.0,0.0,0.0
299.0,1.2286717203739594,0.724867530422281,1.0,0.0,0.0,0.0
300.0,-0.5015721130605693,0.21275586495365092,1.0,0.0,0.0,0.0
301.0,-0.10718411444572462,-1.3578105350057916,1.0,0.0,0.0,0.0
302.0,-0.576375121930838,-1.015848085578835,1.0,0.0,0.0,0.0
303.0,1.707484242914366,-0.15735550073500423,1.0,0.0,0.0,0.0
304.0,-0.3312985347606956,-0.41160420169196327,1.0,0.0,0.0,0.0
305.0,-0.45654023495711993,-0.6505056487569194,1.0,0.0,0.0,0.0
306.0,0.4446978097366969,0.8077547610385365,1.0,1.0,1.0,1.0
307.0,0.6565674269940223,-1.1583947992081787,1.0,0.0,0.0,0.0
308.0,0.6411061797107389,0.734907308438106,1.0,0.0,1.0,0.0
309.0,-1.6609641311039445,-0.27506754986378784,1.0,0.0,0.0,0.0
310.0,0.3276103161387569,-0.5370820317022525,1.0,0.0,0.0,0.0
311.0,0.3541370077574104,0.5324211855736974,1.0,1.0,1.0,1.0
312.0,-1.4777077670617684,-0.34552422422935214,1.0,0.0,0.0,0.0
313.0,1.7102352378638508,0.28831403150560536,1.0,0.0,0.0,0.0
314.0,-0.10952988466607039,0.19709075533768297,1.0,0.0,1.0,0.0
315.0,-0.1613001868919004,-1.6117621815010008,1.0,0.0,0.0,0.0
316.0,-0.059491297241438534,0.1667885135399449,1.0,0.0,1.0,0.0
317.0,-0.7312828933312816,1.1815718071757624,1.0,1.0,1.0,1.0
318.0,-0.9371677250536674,0.4627776472563616,1.0,0.0,0.0,0.0
319.0,0.6276057997027085,-0.5936906022862979,1.0,0.0,0.0,0.0
320.0,0.34505684407393256,-0.7171260689734634,1.0,0.0,0.0,0.0
321.0,-0.316486379218607,0.5783864442896826,1.0,1.0,1.0,1.0
322.0,-0.48652247836538143,0.6445883076319077,1.0,1.0,1.0,1.0
323.0,-1.5241393503419296,-0.3923804494204966,1.0,0.0,0.0,0.0
324.0,-0.29216958384045055,1.1193976724897259,1.0,1.0,1.0,1.0
325.0,0.49446897449336946,-0.13072924288237034,1.0,0.0,0.0,0.0
326.0,0.8339979331468363,-0.42788059697652203,1.0,0.0,0.0,0.0
327.0,0.6749125190482195,-1.2150179563318144,1.0,0.0,0.0,0.0
328.0,-0.28251722682094993,-1.29575589959673,1.0,0.0,0.0,0.0
329.0,0.9998229997048571,-0.8407553427615767,1.0,0.0,0.0,0.0
330.0,-0.5774516544728563,-1.3895233901958446,1.0,0.0,0.0,0.0
